feature,importance_mean
sin_hour,0.07331687
CLRSKY_SFC_SW_DWN_roll_mean_3,0.04507802
ALLSKY_SFC_SW_DWN_lag_10,0.04222172
ALLSKY_SFC_SW_DWN_lag_19,0.038068343
ALLSKY_SFC_SW_DWN_lag_21,0.03668112
ALLSKY_SFC_SW_DWN_lag_22,0.035157476
ALLSKY_SFC_SW_DWN_lag_9,0.03495821
ALLSKY_SFC_SW_DWN_lag_4,0.033305924
ALLSKY_SFC_SW_DWN_lag_16,0.030661738
ALLSKY_SFC_SW_DWN_lag_8,0.028068805
CLRSKY_SFC_SW_DWN_lag_1,0.027382223
ALLSKY_SFC_SW_DWN_lag_20,0.027065208
ALLSKY_SFC_SW_DWN_roll_mean_6,0.026599713
cos_hour,0.026328377
CLRSKY_SFC_SW_DWN_lag_12,0.02627416
ALLSKY_SFC_SW_DWN_lag_7,0.026013725
ALLSKY_SFC_SW_DWN_lag_13,0.024373485
ALLSKY_SFC_SW_DWN_lag_11,0.024281533
ALLSKY_SFC_SW_DWN_lag_17,0.022798248
ALLSKY_SFC_SW_DWN_lag_18,0.021850951
CLRSKY_SFC_SW_DWN_lag_3,0.021183537
CLRSKY_SFC_SW_DWN,0.02111348
ALLSKY_SFC_SW_DWN_lag_23,0.020535368
ALLSKY_SFC_SW_DWN_roll_min_6,0.019967446
CLRSKY_SFC_SW_DWN_roll_std_6,0.016895095
ALLSKY_SFC_SW_DWN_lag_15,0.01639689
CLRSKY_SFC_SW_DWN_roll_mean_6,0.016172618
ALLSKY_SFC_SW_DWN_lag_5,0.015474345
ALLSKY_SFC_SW_DWN_roll_std_6,0.014233485
ALLSKY_SFC_SW_DWN_roll_max_6,0.014064621
CLRSKY_SFC_SW_DWN_lag_24,0.013275135
CLRSKY_SFC_SW_DWN_lag_6,0.01321074
ALLSKY_SFC_SW_DWN_lag_14,0.012116522
CLRSKY_SFC_SW_DWN_lag_2,0.010747938
ALLSKY_SFC_SW_DWN_roll_mean_3,0.010664585
ALLSKY_SFC_SW_DWN_lag_1,0.010121044
ALLSKY_SFC_SW_DWN_lag_12,0.009409828
ALLSKY_SFC_SW_DWN_lag_24,0.008894954
CLRSKY_SFC_SW_DWN_roll_std_3,0.008432586
ALLSKY_SFC_SW_DWN_lag_6,0.007675852
ALLSKY_SFC_SW_DWN_lag_3,0.006802451
ALLSKY_SFC_SW_DWN_roll_std_3,0.0045649013
CLRSKY_SFC_SW_DWN_roll_max_6,0.004046619
CLRSKY_SFC_SW_DWN_roll_min_6,0.0033514972
CLOUD_AMT,0.003277363
CLOUD_AMT_lag_1,0.0018959809
ALLSKY_SFC_SW_DWN_lag_2,0.0018694518
RH2M,0.0017688508
T2M_lag_3,0.0017410818
PS_lag_3,0.0016920689
RH2M_lag_3,0.0016272487
cos_month,0.001599786
CLOUD_AMT_roll_mean_3,0.0015968382
RH2M_lag_1,0.0015876149
PS_lag_1,0.0015303808
PS_lag_6,0.0015092698
RH2M_lag_2,0.001473284
PS_lag_2,0.001471483
RH2M_lag_6,0.0014287159
RH2M_lag_12,0.0014274926
T2M_lag_12,0.0014201502
PS,0.0014097403
T2M_lag_6,0.0013577262
CLOUD_AMT_roll_mean_6,0.0013449425
PS_lag_12,0.0013250347
CLOUD_AMT_roll_min_6,0.0012709681
T2M,0.0011312222
CLOUD_AMT_lag_2,0.0010962307
CLOUD_AMT_roll_max_6,0.0010495741
CLOUD_AMT_roll_std_6,0.0009940241
sin_month,0.0009918144
CLOUD_AMT_lag_24,0.0009781761
T2M_lag_2,0.00096828555
PS_lag_24,0.00094855815
T2M_lag_24,0.00094626815
CLOUD_AMT_lag_12,0.00093946984
CLOUD_AMT_lag_3,0.0009270518
T2M_lag_1,0.0009197003
CLOUD_AMT_roll_std_3,0.00090958766
RH2M_lag_24,0.0009086502
CLOUD_AMT_lag_6,0.0008285022
